City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
66,Mtwara,TZ,-10.2667,40.1833,79.05,80,94,4.5,2022-03-13 19:46:35
67,Bonavista,CA,48.6499,-53.1147,31.14,67,13,36.46,2022-03-13 19:46:35
68,Ust-Ishim,RU,57.6935,71.1665,-1.01,95,81,4.99,2022-03-13 19:46:35
69,Mecca,SA,21.4267,39.8261,71.85,59,4,6.53,2022-03-13 19:38:46
70,Saint Anthony,US,45.0205,-93.218,42.85,55,20,14.97,2022-03-13 19:46:36
71,Cidreira,BR,-30.1811,-50.2056,68.25,91,100,13.6,2022-03-13 19:46:36
72,Sao Filipe,CV,14.8961,-24.4956,73.22,66,5,13.31,2022-03-13 19:46:36
73,Baran,IN,25.1,76.5167,78.4,26,0,5.97,2022-03-13 19:46:37
74,Oranjestad,AW,12.524,-70.027,80.55,78,20,23.02,2022-03-13 19:43:13
75,Boralday,KZ,43.3578,76.8594,48.06,71,100,11.18,2022-03-13 19:46:37
76,Skibbereen,IE,51.55,-9.2667,46.11,76,7,8.97,2022-03-13 19:38:41
77,Porto Novo,BJ,6.4965,2.6036,82.9,75,30,9.73,2022-03-13 19:46:38
78,Mananjary,MG,-21.2167,48.3333,75.22,89,97,5.39,2022-03-13 19:46:38
79,Sivas,TR,39.7916,37.0019,16.43,79,75,18.41,2022-03-13 19:46:38
80,Krasnoselkup,RU,65.7,82.4667,-9.76,100,88,7.52,2022-03-13 19:46:39
81,Carnarvon,AU,-24.8667,113.6333,73.47,78,0,17.27,2022-03-13 19:39:51
82,Yarmouth,US,41.7057,-70.2286,37.96,38,0,16.11,2022-03-13 19:46:39
83,Punta Arenas,CL,-53.15,-70.9167,50.11,53,40,31.07,2022-03-13 19:45:41
84,Taoudenni,ML,22.6783,-3.9836,78.91,9,0,3.18,2022-03-13 19:46:40
85,Peyima,SL,8.7,-11.0333,80.13,63,98,6.62,2022-03-13 19:46:40
86,Novyy Urengoy,RU,66.0833,76.6333,-12.26,100,100,4.99,2022-03-13 19:42:22
87,General Roca,AR,-39.0333,-67.5833,84.61,19,0,11.83,2022-03-13 19:46:41
88,Mulchen,CL,-37.7167,-72.2333,87.66,16,0,10.0,2022-03-13 19:46:41
89,Hamilton,US,39.1834,-84.5333,50.61,44,40,18.41,2022-03-13 19:42:18
90,Harrai,IN,22.6167,79.2167,73.09,14,0,2.51,2022-03-13 19:46:42
91,Svetlyy,RU,54.675,20.1347,34.97,77,6,8.1,2022-03-13 19:46:42
92,Gidole,ET,5.65,37.3667,70.03,32,88,1.1,2022-03-13 19:47:42
93,Longyearbyen,SJ,78.2186,15.6401,24.64,86,0,6.91,2022-03-13 19:47:43
94,Maniitsoq,GL,65.4167,-52.9,2.26,87,100,11.45,2022-03-13 19:47:43
95,Hofn,IS,64.2539,-15.2082,36.52,62,100,11.36,2022-03-13 19:47:43
96,Lev Tolstoy,RU,53.2134,39.446,24.26,89,100,10.02,2022-03-13 19:47:44
97,Amalapuram,IN,16.5833,82.0167,71.98,74,100,2.26,2022-03-13 19:47:44
98,Cairo,EG,30.0626,31.2497,51.04,53,40,11.5,2022-03-13 19:45:47
99,Anuradhapura,LK,8.3565,80.4173,72.9,85,100,4.0,2022-03-13 19:47:45
100,Sinnamary,GF,5.3833,-52.95,77.09,91,100,12.39,2022-03-13 19:47:45
101,Richards Bay,ZA,-28.783,32.0377,77.47,81,0,12.37,2022-03-13 19:47:45
102,Sabattus,US,44.1198,-70.1076,33.51,43,0,14.97,2022-03-13 19:47:46
103,Grindavik,IS,63.8424,-22.4338,36.07,80,0,14.97,2022-03-13 19:47:46
104,Acarau,BR,-2.8856,-40.12,81.3,77,98,8.5,2022-03-13 19:47:46
105,Chapais,CA,49.7834,-74.8492,8.38,76,100,9.91,2022-03-13 19:47:47
106,Dingle,PH,10.9995,122.6711,76.53,91,31,5.26,2022-03-13 19:47:47
107,Geraldton,AU,-28.7667,114.6,63.01,82,3,4.61,2022-03-13 19:47:48
108,Leshukonskoye,RU,64.8989,45.7622,20.32,94,100,6.8,2022-03-13 19:47:48
109,Nizwa,OM,22.9333,57.5333,76.59,27,4,4.88,2022-03-13 19:47:48
110,Zimnicea,RO,43.6667,25.3667,34.54,58,16,3.89,2022-03-13 19:47:49
111,Caravelas,BR,-17.7125,-39.2481,81.25,72,100,6.93,2022-03-13 19:47:49
112,Freetown,SL,8.484,-13.2299,77.4,88,87,11.03,2022-03-13 19:47:50
113,Tazovskiy,RU,67.4667,78.7,-16.06,100,97,6.82,2022-03-13 19:43:40
114,General Pico,AR,-35.6566,-63.7568,81.97,33,38,4.0,2022-03-13 19:47:50
115,Ponta Do Sol,PT,32.6667,-17.1,63.01,60,25,17.87,2022-03-13 19:38:40
116,East London,ZA,-33.0153,27.9116,69.31,91,99,3.11,2022-03-13 19:42:59
117,Outjo,NA,-20.1167,16.15,67.1,86,100,2.75,2022-03-13 19:47:51
118,Shahr-E Babak,IR,30.1165,55.1186,59.56,33,28,2.89,2022-03-13 19:47:51
119,General Elizardo Aquino,PY,-24.4333,-56.7,86.18,36,2,7.61,2022-03-13 19:47:52
120,Nanortalik,GL,60.1432,-45.2371,28.29,67,100,45.72,2022-03-13 19:47:52
121,Civitanova Marche,IT,43.307,13.7206,45.18,64,0,9.01,2022-03-13 19:47:53
122,Jalu,LY,29.0331,21.5482,58.39,39,1,6.93,2022-03-13 19:47:53
123,Ancud,CL,-41.8697,-73.8203,68.23,60,53,5.86,2022-03-13 19:43:45
124,Iqaluit,CA,63.7506,-68.5145,-16.31,62,75,6.91,2022-03-13 19:47:53
125,Kisangani,CD,0.5167,25.2,73.96,78,100,0.94,2022-03-13 19:38:44
126,Tromso,NO,69.6496,18.957,35.62,80,0,4.61,2022-03-13 19:47:54
127,Port Hawkesbury,CA,45.6169,-61.3485,26.87,63,40,32.21,2022-03-13 19:47:54
128,Redcliffe,AU,-27.2307,153.0973,67.89,88,20,9.22,2022-03-13 19:47:55
129,Vestmannaeyjar,IS,63.4427,-20.2734,40.39,59,27,13.71,2022-03-13 19:38:38
130,Coromandel,BR,-18.4733,-47.2003,70.45,86,96,1.99,2022-03-13 19:47:55
131,San Andres,CO,12.5847,-81.7006,84.22,70,40,16.11,2022-03-13 19:45:13
132,Quatre Cocos,MU,-20.2078,57.7625,79.09,85,90,15.73,2022-03-13 19:47:56
133,Oktyabrskoye,RU,43.0645,44.7417,21.34,92,100,6.71,2022-03-13 19:47:56
134,Havelock,US,34.8791,-76.9013,45.99,42,0,5.01,2022-03-13 19:45:02
135,Camacha,PT,33.0833,-16.3333,58.42,67,40,19.57,2022-03-13 19:47:57
136,Montepuez,MZ,-13.1256,38.9997,71.11,97,100,3.78,2022-03-13 19:48:57
137,Tessalit,ML,20.1986,1.0114,79.07,8,0,8.01,2022-03-13 19:48:57
138,Bluffton,US,32.2371,-80.8604,55.02,35,0,8.05,2022-03-13 19:47:54
139,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,69.84,57,17,8.77,2022-03-13 19:48:58
140,Murgab,TM,37.4966,61.9714,53.47,94,100,4.61,2022-03-13 19:48:58
141,Nuuk,GL,64.1835,-51.7216,9.21,78,75,21.85,2022-03-13 19:48:59
142,Buzdyak,RU,54.5833,54.55,5.65,96,100,5.39,2022-03-13 19:48:59
143,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,53,75,31.07,2022-03-13 19:48:59
144,Coxim,BR,-18.5067,-54.76,81.99,77,89,4.32,2022-03-13 19:49:00
145,Cayenne,GF,4.9333,-52.3333,75.24,1,0,6.91,2022-03-13 19:49:00
146,Lebu,CL,-37.6167,-73.65,63.73,62,3,20.6,2022-03-13 19:46:08
147,Torbay,CA,47.6666,-52.7314,34.57,87,100,37.98,2022-03-13 19:45:25
148,Valavanur,IN,11.9209,79.5824,73.67,79,79,5.39,2022-03-13 19:49:01
149,Kangaatsiaq,GL,68.3065,-53.4641,1.36,94,100,4.09,2022-03-13 19:49:01
150,Vestmanna,FO,62.1564,-7.1664,43.72,93,100,18.41,2022-03-13 19:49:01
151,Carballo,ES,43.213,-8.691,47.86,91,100,4.99,2022-03-13 19:49:02
152,Yeovil,GB,50.9416,-2.6321,46.94,91,75,4.61,2022-03-13 19:49:02
153,Tonj,SS,7.2737,28.6822,87.01,32,100,5.26,2022-03-13 19:49:03
154,Ratnagiri,IN,16.9833,73.3,81.81,53,51,4.79,2022-03-13 19:45:17
155,Mana,GF,5.6592,-53.7767,77.67,91,100,11.12,2022-03-13 19:49:03
156,Gat,IL,31.61,34.7642,48.88,100,99,6.93,2022-03-13 19:49:03
157,Arlit,NE,18.7369,7.3853,73.94,8,0,14.45,2022-03-13 19:49:04
158,Riohacha,CO,11.5444,-72.9072,85.66,60,81,17.09,2022-03-13 19:49:04
159,Dawlatabad,AF,36.4141,64.9053,60.26,75,100,3.94,2022-03-13 19:49:05
160,Methoni,GR,36.8197,21.7049,46.26,58,57,4.88,2022-03-13 19:49:05
161,Kutum,SD,14.2,24.6667,72.37,15,7,12.06,2022-03-13 19:49:05
162,Murtino,MK,41.4153,22.7267,35.73,59,95,1.79,2022-03-13 19:49:06
163,Tampere,FI,61.4991,23.7871,28.71,80,0,2.3,2022-03-13 19:49:06
164,Opuwo,NA,-18.0607,13.84,66.83,84,100,7.4,2022-03-13 19:49:07
165,Bathsheba,BB,13.2167,-59.5167,79.38,67,98,19.22,2022-03-13 19:49:07
166,Canavieiras,BR,-15.675,-38.9472,85.96,71,57,7.96,2022-03-13 19:49:07
167,Kruisfontein,ZA,-34.0033,24.7314,61.88,89,100,15.46,2022-03-13 19:49:08
168,Alfafar,ES,39.4167,-0.3833,59.99,83,75,6.91,2022-03-13 19:49:08
169,Berlevag,NO,70.8578,29.0864,33.75,86,0,17.27,2022-03-13 19:49:08
170,Turukhansk,RU,65.8167,87.9833,-17.82,100,76,5.99,2022-03-13 19:49:09
171,Santa Cruz,BO,-17.8,-63.1667,84.25,51,75,13.8,2022-03-13 19:49:09
172,Roald,NO,62.5833,6.1333,48.34,40,75,4.61,2022-03-13 19:49:10
173,Pisco,PE,-13.7,-76.2167,78.85,69,0,9.22,2022-03-13 19:49:10
174,Masvingo,ZW,-20.0637,30.8277,65.03,79,1,6.08,2022-03-13 19:49:10
175,Kaputa,ZM,-8.4689,29.6619,66.83,88,100,2.53,2022-03-13 19:49:11
176,Sao Pedro Da Aldeia,BR,-22.8392,-42.1028,87.89,51,20,17.27,2022-03-13 19:49:11
177,San Cristobal,VE,7.7669,-72.225,77.18,84,94,3.13,2022-03-13 19:49:12
178,Virginia Beach,US,36.8529,-75.978,45.05,36,0,14.97,2022-03-13 19:46:18
179,Visnes,NO,59.3556,5.2242,48.25,31,75,24.16,2022-03-13 19:49:12
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,81,2,14.34,2022-03-13 19:50:12
181,Bandarbeyla,SO,9.4942,50.8122,77.65,73,56,13.0,2022-03-13 19:50:13
182,Sur,OM,22.5667,59.5289,79.66,42,6,10.18,2022-03-13 19:50:13
183,Trapani,IT,37.8333,12.6667,52.23,87,20,16.11,2022-03-13 19:50:14
184,Salalah,OM,17.0151,54.0924,77.09,78,0,2.3,2022-03-13 19:46:07
185,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,12.66,2022-03-13 19:50:14
186,Souillac,MU,-20.5167,57.5167,79.18,89,40,12.66,2022-03-13 19:50:15
187,North Myrtle Beach,US,33.816,-78.68,51.35,37,0,8.05,2022-03-13 19:50:15
188,Luanda,AO,-8.8368,13.2343,80.22,74,100,6.53,2022-03-13 19:48:02
189,Porosozero,RU,62.7191,32.727,30.6,98,100,1.72,2022-03-13 19:50:15
190,Nouadhibou,MR,20.931,-17.0347,66.18,77,48,21.85,2022-03-13 19:50:16
191,Kindu,CD,-2.95,25.95,71.01,90,100,2.93,2022-03-13 19:50:16
192,Kokologo,BF,12.1897,-1.8856,89.28,11,17,9.15,2022-03-13 19:50:16
