City_ID,City,Country,Max Temp,Lat,Lon,Hotel Name
468,Kongolo,CD,71.01,-5.3833,27.0,GUEST HOUSE OASIS
471,Kiboga,UG,69.91,0.9161,31.7742,Marie Lustenberger Guest House
477,Timizart,DZ,56.21,36.8,4.2667,yefssah restaurant
478,Rio Gallegos,AR,57.25,-51.6226,-69.2181,Hotel Santa Cruz
481,Bulungu,CD,71.38,-4.55,18.6,
498,Summerville,US,55.98,33.0185,-80.1757,Sleep Inn Summerville-Charleston
499,Kenitra,MA,59.76,34.261,-6.5802,Bienvenue chez vous
507,Tabora,TZ,63.77,-5.0167,32.8,Barcelona Lodge
508,Aranos,,70.11,-24.1333,19.1167,Ley-Lia Guest House
521,Xapuri,BR,71.62,-10.6517,-68.5044,Pousada dos Chapurys
523,Champua,IN,70.45,22.0833,85.6667,Rahul Nayak jaintgarh
526,Peniche,PT,55.11,39.3558,-9.3811,Hotel Star inn Peniche
530,Kabompo,ZM,64.49,-13.5927,24.2008,Big Tree
534,Djambala,CG,70.59,-2.5447,14.7533,Hotel Ravin D'or
536,Mekhe,SN,72.07,15.1097,-16.6218,Chez ain
541,Bondo,CD,68.41,3.8146,23.6866,
542,Coquimbo,CL,65.93,-29.9533,-71.3436,Hotel San Juan
543,Mungwi,ZM,61.18,-10.1732,31.3694,
544,Fulton,US,57.13,33.7668,-84.4499,The Blue Door
546,Surt,LY,58.35,31.2089,16.5887,الهادي ابوشعاله سرت
547,Ginir,ET,63.18,7.1333,40.7,Sura Dare Village
551,Odweyne,SO,71.51,9.4092,45.064,Eng Hiirey House
555,Umm Lajj,SA,67.68,25.0213,37.2685,Moon light Furnished Units
560,Menongue,AO,64.83,-14.6585,17.691,Ritz Lauca
561,Gazli,UZ,54.77,40.1333,63.45,
563,Isiro,CD,66.96,2.7739,27.616,Guest House Hewa Bora
564,Mahabaleshwar,IN,66.58,17.9167,73.6667,Evershine Resort
569,Mitu,CO,74.39,1.1983,-70.1733,
576,Mangan,IN,65.08,27.5167,88.5333,Hotel Mout View
578,Pombas,CV,66.97,17.1503,-25.0201,Paul Paradis
580,Chipinge,ZW,63.27,-20.1883,32.6236,Chipinge Breeze Lodge
593,San Ramon,US,65.64,37.7799,-121.978,San Ramon Marriott
597,Chandrakona,IN,71.73,22.7333,87.5167,Roy Mansion 3
606,Gorgan,IR,50.72,36.8387,54.4348,Khayyam Motel
612,Edgewater,US,68.29,28.9889,-80.9023,Islander Beach Resort
615,Puerto Maldonado,PE,69.37,-12.6,-69.1833,Wasai Hotel
617,Satipo,PE,71.46,-11.2522,-74.6386,Bungalows El Palmiche
620,Rawson,AR,74.07,-43.3002,-65.1023,Hosteria Sampedro
626,Bourbonnais,US,52.29,41.1417,-87.875,Fairfield Inn by Marriott Kankakee Bourbonnais
635,Zurrieq,MT,53.11,35.8311,14.4742,Ta'Bertu Guest House
636,Springdale,US,62.73,36.1867,-94.1288,Springdale Inn
641,Kalavai,IN,72.37,12.7703,79.42,மாரியம்மன் ஆலயம்
644,Jensen Beach,US,71.62,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
649,Muzaffarabad,PK,64.72,34.37,73.4711,Pearl Continental Muzaffarabad
655,Joshimath,IN,50.88,30.5667,79.5667,Shivalik Camps & Resort
659,Itigi,TZ,61.5,-5.7,34.4833,Hostel San Sebastiano
660,Windhoek,,67.1,-22.5594,17.0832,Hotel Uhland
662,Surab,PK,67.01,28.4914,66.2585,Bismillah Hotel
663,Nautanwa,IN,67.78,27.4333,83.4167,Plot: S S Srivastava
669,Tshela,CD,72.57,-4.9833,12.9333,Hotel Mirador
674,Seoni,IN,72.21,22.0833,79.5333,STARiHOTELS Nehru Road Seoni
677,Isiolo,KE,72.73,0.3546,37.5822,Gaddisa Hotel
680,Asyut,EG,55.81,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
684,Mosquera,CO,60.67,4.7059,-74.2302,Hotel SJ
692,Cobija,BO,73.98,-11.0267,-68.7692,Hotel Obelisco
702,Sucua,EC,72.34,-2.4667,-78.1667,Hotel Orellana
706,Praia Da Vitoria,PT,55.76,38.7333,-27.0667,Hotel Branco I
